,s7,s8
ENSMUSG00000051951,0.163772337240146,0.184482188426363
ENSMUSG00000089699,0,0
ENSMUSG00000102343,0,0
ENSMUSG00000025900,0.00853347774682848,0.0103772167561738
ENSMUSG00000109048,0,0
ENSMUSG00000025902,12.0972499319766,14.1808987913957
ENSMUSG00000104328,0,0.00460706510945749
ENSMUSG00000033845,5.61670775427972,5.76224800845482
ENSMUSG00000025903,4.98995932346698,5.28895846053727
ENSMUSG00000104217,0,0
ENSMUSG00000033813,7.31681051018256,7.40185098668305
ENSMUSG00000002459,0.0650556892948016,0.0723305961699964
ENSMUSG00000085623,0,0
ENSMUSG00000033793,8.48470390000988,8.24383721000181
ENSMUSG00000025905,0,0.00139606508015797
ENSMUSG00000033774,0.0604667509886407,0.0726660949401511
ENSMUSG00000025907,2.59689114527061,2.41854076898909
ENSMUSG00000090031,0.0677403750726269,0.0517794056867287
ENSMUSG00000087247,0,0
ENSMUSG00000033740,0,0.00197639101926448
ENSMUSG00000051285,2.26760098395411,2.39610589909227
ENSMUSG00000097797,0.0242119484999321,0.0382761212562418
ENSMUSG00000103067,0.0101170690043534,0.00984236637020463
ENSMUSG00000025909,0,0.00234238935616531
ENSMUSG00000061024,18.569405919881,21.1904321730183
ENSMUSG00000025911,0.0312665608753587,0.0675946642779133
ENSMUSG00000067879,0,0
ENSMUSG00000099827,0,0
ENSMUSG00000025912,0.63690713786088,0.631438271650563
ENSMUSG00000045210,3.8955395939733,3.86577136815577
ENSMUSG00000097893,0.131277208189994,0.0823953018286077
ENSMUSG00000025915,4.36508368634716,4.40813943586189
ENSMUSG00000046101,0.0266368267092306,0.0194351798405562
ENSMUSG00000098234,5.39716498461036,4.84929783910004
ENSMUSG00000099032,0.908244005394394,0.850067789658633
ENSMUSG00000025916,0.00862242650535172,0
ENSMUSG00000087199,0,0
ENSMUSG00000025917,25.4514454828153,24.5432708055185
ENSMUSG00000056763,1.00698525574305,0.881387749402639
ENSMUSG00000067851,12.4091062728418,12.3667776820681
ENSMUSG00000042501,0.00767950617991267,0.0149419784193282
ENSMUSG00000048960,0.0774839933547935,0.049997016717091
ENSMUSG00000057715,0.00715014459743584,0.00695600106094175
ENSMUSG00000097171,0,0
ENSMUSG00000101314,0,0
ENSMUSG00000016918,4.30794186100104,4.24526691000679
ENSMUSG00000025938,0.17493280233987,0.121559255809218
ENSMUSG00000099498,0,0
ENSMUSG00000042414,0.0665816779951087,0.00996520401601062
ENSMUSG00000005886,4.9028653954149,5.10868649380052
ENSMUSG00000101476,0,0
ENSMUSG00000025935,34.6115489249844,37.918105529068
ENSMUSG00000025937,7.55245626821083,7.26904670238054
ENSMUSG00000067813,0.0613642783535078,0.0265324850436669
ENSMUSG00000025932,0.211914241998461,0.165255449078008
ENSMUSG00000054493,0,0
ENSMUSG00000025930,0,0
ENSMUSG00000032769,0.00924134804197795,0
ENSMUSG00000092083,0.0294419049983596,0.0210606520747208
ENSMUSG00000025925,2.53063727084935,3.41564287929331
ENSMUSG00000032719,0.00955746402303542,0.0185959120065875
ENSMUSG00000067795,0.0190963968506796,0.0309631399624954
