ID_REF	GSM861609	GSM861610	GSM861611	GSM861612	GSM861613	GSM861615
10338001	10.79958	10.88134	10.93076	10.79975	10.79023	10.70172
10338002	5.239211	5.284892	5.484095	5.22417	5.277815	5.232388
10338003	8.872393	8.855364	8.982025	8.71101	8.880396	8.793394
10338004	7.250878	7.481339	7.51124	7.362159	7.331544	7.19923
10338005	1.168685	1.151123	1.148027	1.148027	1.231183	1.175247
10338006	1.460586	1.373347	1.431953	1.404125	1.493376	1.474712
10338007	1.794662	1.736249	1.785768	1.688684	1.847885	1.780268
10338008	2.630267	2.486131	2.686673	2.497047	2.635905	2.570819
10338009	6.767026	6.713118	7.017358	6.716575	6.878322	6.929635
10338010	1.205519	1.176896	1.203747	1.190301	1.326937	1.220616
10338011	4.432138	4.412573	4.575927	4.303075	4.377965	4.438545
10338012	1.315576	1.219501	1.282834	1.238244	1.367152	1.369116
10338013	1.053614	1.013336	0.9891783	1.007048	1.092092	1.132234
10338014	1.143518	1.090599	1.142723	1.107273	1.19821	1.149549
10338015	1.103992	1.079868	1.085284	1.08643	1.157445	1.138754
10338016	6.585222	6.546423	6.87396	6.514187	6.537071	6.513862
10338017	11.95255	12.15964	12.08273	11.96752	11.84385	11.82958
10338018	5.556074	5.577666	5.816811	5.509339	5.578164	5.483815
10338019	4.190148	4.140212	4.31003	4.036257	4.137447	4.220428
10338020	6.966084	6.89728	7.178071	6.892025	7.060762	6.972641
10338021	1.469722	1.376424	1.440934	1.420904	1.494879	1.546888
10338022	1.495775	1.389072	1.431318	1.376493	1.48255	1.492881
10338023	2.083887	1.954732	2.035025	1.97367	2.102177	2.076405
10338024	6.230716	6.197953	6.526018	6.16431	6.213185	6.236772
10338025	7.413657	7.478094	7.659414	7.421527	7.495295	7.060456
10338026	12.11788	12.30293	12.20267	12.19062	12.10185	11.97222
10338027	6.178819	6.145561	6.414718	6.110118	6.104161	6.135336
10338028	3.145971	3.151451	3.345898	3.130635	3.234121	3.114613
10338029	8.230421	8.259643	8.329574	7.954176	8.152209	8.09126
10338030	1.181903	1.139486	1.173618	1.16381	1.227306	1.203031
10338031	1.111244	1.025146	1.103822	1.103822	1.135837	1.152681
10338032	1.167499	1.095535	1.134447	1.08098	1.239162	1.167819
10338033	5.69757	5.697193	5.939487	5.545753	5.686562	5.660495
10338034	2.058507	1.99877	2.154295	2.020454	2.075607	2.093658
10338035	7.453672	7.445736	7.58598	7.296908	7.454057	7.322099
10338036	7.900962	7.98632	8.022699	7.818267	7.753706	7.66761
10338037	3.007548	2.981244	2.997321	2.856948	2.89836	2.873718
10338038	1.110554	0.9534383	1.028485	1.078087	0.9637805	0.9479381
10338039	6.605898	6.522633	6.89465	6.513463	6.703018	6.676154
10338040	3.19335	3.137273	3.281311	3.052548	3.206677	3.211032
10338041	9.873763	9.913111	9.978498	9.762094	9.639534	9.514904
10338042	8.789281	8.865514	8.977508	8.648909	8.743789	8.439864
10338043	1.087265	1.103318	1.087298	1.08643	1.194851	1.191209
10338044	10.6514	10.79375	10.81965	10.57485	10.58213	10.4451
10338045	6.256554	6.237227	6.286905	6.215184	6.625679	6.088273
10338046	2.703463	2.601332	2.675594	2.565411	2.684404	2.67397
10338047	4.761957	4.604609	4.646394	4.311515	4.396823	4.380273
10338048	1.83656	1.743338	1.728833	1.750219	1.90947	1.811015
10338049	7.235316	7.291346	7.566795	7.196007	7.317282	7.327659
10338050	1.101907	1.071667	1.082668	1.077946	1.163464	1.182135
10338051	4.698994	4.734545	4.909704	4.616333	4.741671	4.673002
10338052	1.572422	1.566921	1.578208	1.517321	1.645533	1.6173
10338053	6.855917	6.872581	7.19967	6.864666	6.924705	6.961013
10338054	4.220822	4.161756	4.317134	4.071158	4.176132	4.176132
10338055	6.649545	6.644446	6.902407	6.576047	6.633103	6.624293
10338056	2.104223	2.110084	2.165415	2.027729	2.127319	2.137032
10338057	1.254779	1.250632	1.250305	1.24384	1.383419	1.31155
10338058	1.238579	0.9068079	0.9526198	1.056135	1.210382	1.10142
10338059	12.14436	12.22291	12.21632	12.17814	12.09746	12.03527
10338060	2.94084	2.871077	2.891737	2.723816	2.748551	2.724422
10338061	5.323656	5.286956	5.502922	5.211677	5.331345	5.279415
10338062	7.290938	7.266984	7.546008	7.238722	7.299715	7.325634
10338063	2.827514	2.787141	2.803284	2.633649	2.695132	2.671285
10338064	4.585361	4.532627	4.455257	4.19418	4.149204	4.104761
10338065	4.720956	4.494188	4.552562	4.151837	4.205929	4.235235
10338066	3.761115	3.681783	3.742295	3.456929	3.350756	3.33594
10338067	5.504448	5.272714	5.295687	4.99863	4.927268	4.887246
10344614	4.67106	4.681705	4.761025	4.496661	4.882361	4.731593
10344616	1.238108	1.198694	1.132657	1.276793	1.402669	1.198694
10344618	1.469576	1.535555	1.54746	1.417722	1.617442	1.512356
10344620	1.780968	2.420907	2.031798	2.125247	2.460682	2.244794
10344622	6.521034	6.573788	6.783047	6.890569	6.121715	6.498281
10344624	5.978408	6.028861	6.292139	6.1054	6.133909	6.178075
10344633	8.277872	8.244304	8.214908	8.34313	8.481217	8.430878
10344637	6.118161	6.121004	6.120477	6.24252	6.239548	6.08675
10344653	2.43879	2.718622	2.481542	2.930082	2.508898	2.688921
10344658	5.788955	5.892752	5.847045	5.879784	6.052117	5.942803
10344674	1.88172	1.654828	1.850543	1.747227	2.237659	1.979065
10344679	3.879807	3.75083	3.952534	3.791102	3.802684	3.825496
10344705	5.440108	5.408334	5.494456	5.796299	5.369829	5.292047
10344707	6.372989	6.226429	5.937315	6.103209	6.187724	6.053999
10344713	9.619488	9.507743	9.381227	9.899214	9.936975	9.946095
10344715	2.352273	2.78889	2.500672	2.524404	2.27023	2.603214
10344717	2.756754	3.106369	2.918106	3.21785	2.610352	2.82674
10344719	4.317149	4.418636	4.521945	4.259142	4.42488	4.293851
10344721	1.052688	1.317825	1.189642	1.052024	1.41081	1.202339
10344723	5.117564	4.780164	4.508622	5.727016	5.263324	5.563178
10344725	3.157048	3.461336	3.453192	3.412283	3.343562	3.130484
10344741	9.074499	9.206493	8.952168	9.309601	9.215719	9.145267
10344743	3.188028	3.321218	3.185622	3.408597	3.304417	3.37048
10344750	4.819813	4.895498	4.701437	5.148771	4.80206	4.887563
10344772	2.977432	3.247163	3.27083	2.944739	2.870651	2.76744
10344789	4.941863	5.039327	5.148376	5.324173	5.333297	5.349789
10344797	6.873861	6.778295	6.785658	6.692225	6.83486	6.853176
10344799	6.79332	6.867397	6.845472	6.895411	7.118404	7.088636
10344801	6.123569	5.815293	6.005311	6.376025	6.278428	6.200193
10344803	5.059288	5.631724	5.268865	5.834494	5.278343	4.891091
10344805	4.090457	4.421407	4.430873	4.741666	4.718513	4.311501
10344807	6.833658	6.824914	6.802266	6.856145	7.132852	7.08248
10344809	6.717747	6.857889	6.769662	6.830349	6.997053	7.035665
10344811	7.3964	7.54249	7.510784	7.562166	7.759419	7.731451
10344813	5.121559	5.31777	4.812235	5.497982	5.176433	5.459615
10344815	5.60962	5.784515	5.440448	5.904354	5.973846	5.838199
10344817	5.248671	5.465267	5.070885	5.702028	5.439512	5.327629
10344819	6.111699	6.196481	6.257955	6.398539	6.452914	6.527068
10344821	5.851732	5.992094	5.977472	6.043452	6.043968	5.993004
10344835	7.867939	8.124034	8.272528	8.062526	7.623699	7.813668
10344837	5.132067	5.126853	4.942589	5.336113	5.438493	5.204718
10344879	3.170348	2.788272	3.324271	4.172637	3.833711	3.812323
10344895	4.163933	4.006711	3.864896	4.34069	4.170134	3.824607
10344897	7.817702	7.874776	8.241283	8.316552	8.167413	8.529213
10344922	2.750432	2.470643	2.788222	2.827799	2.579311	2.814489
10344924	2.186019	2.483038	2.168126	1.993171	2.444855	2.077113
10344929	2.421812	2.750566	2.598953	2.786328	2.707588	2.486864
10344931	9.996486	10.04251	9.944809	10.27278	9.986713	10.0093
10344933	7.75859	7.73526	7.894918	7.767939	7.819537	7.769325
10344935	4.101442	3.945154	4.095021	4.259291	4.16518	4.004566
10344939	7.132335	7.101145	7.089548	7.256967	7.217979	7.13312
10344950	4.207778	4.136005	3.778749	4.481282	3.988621	4.136057
10344952	8.793402	8.590868	8.304635	8.600119	8.513205	8.496656
10344960	6.016871	5.966932	5.961421	6.078276	6.192249	5.971387
10344966	4.742582	4.271537	3.994678	4.064857	3.791117	3.881675
10344973	3.060081	3.030432	3.06882	3.32748	3.190013	3.417804
10344981	3.041007	2.519547	2.883871	3.92608	3.498239	3.156209
10344990	7.435009	7.290371	6.545948	7.731386	7.763983	7.39111
10345007	3.30959	3.409166	3.397496	3.436535	3.731417	3.630447
10345016	3.77754	3.441144	3.681343	4.768136	4.655503	4.765007
10345025	6.39424	6.411548	6.331958	6.568158	6.598413	6.55057
10345028	1.742144	1.610227	1.424502	1.905808	1.759213	2.111682
10345030	4.45057	4.277653	4.617379	4.242013	4.142806	4.276001
10345032	4.238827	4.25952	4.266509	4.235607	4.433209	4.459694
10345037	5.525278	5.480453	5.402603	5.496378	5.611287	5.691237
10345046	6.077168	6.037324	5.931958	6.125275	6.161265	6.032004
10345058	4.366561	4.427935	4.518224	4.560887	4.643312	4.561168
10345065	4.587601	4.875156	4.785346	4.479443	4.939833	4.429678
10345074	4.031385	4.332666	3.895177	4.034808	3.655564	3.455777
10345077	1.606559	1.586086	1.671028	1.915842	1.870121	1.49259
10345079	3.076213	3.117975	3.360696	3.192985	3.163989	3.242355
10345083	2.890974	3.008302	3.129348	2.94597	2.971077	3.030468
10345087	2.905678	3.16823	3.179695	3.030501	3.363177	3.280368
10345089	2.44921	2.41975	2.703999	2.355157	2.507438	2.610526
10345091	3.927902	4.072794	4.32779	4.089552	4.011926	4.242229
10345099	4.14435	4.310511	3.992356	3.98829	4.148914	4.277307
10345101	6.087497	6.289726	6.067657	6.222084	6.325902	6.165871
10345141	6.751594	6.630049	6.567073	6.575897	6.449078	6.436447
10345167	3.762571	3.993403	3.991316	4.012127	4.262639	3.755179
10345172	3.393035	3.394364	3.783239	3.234235	3.417752	3.403039
10345174	7.008909	7.145732	6.895616	7.248175	6.571088	6.782857
10345181	1.646235	1.952348	1.869593	1.869563	1.658768	1.890434
10345183	7.212852	7.282772	7.300222	7.119489	7.158499	7.046174
10345190	3.518913	3.187107	3.32276	3.076022	3.129831	3.114064
10345197	1.549807	1.51521	1.533889	1.562285	1.634352	1.959146
10345200	3.020116	3.073943	3.276264	2.945224	3.169266	2.846431
10345203	7.535954	7.434387	7.397783	7.595524	7.628453	7.467655
10345206	3.669623	3.787609	3.737208	3.796841	3.539575	3.647972
10345212	2.970027	3.210407	2.963368	2.987798	2.805104	3.263948
10345224	1.659498	1.597329	1.61033	1.388376	1.699196	1.875443
10345226	2.114779	2.260014	2.003653	1.982734	2.089131	2.411906
10345228	4.539341	4.785617	4.680575	4.619147	4.96712	4.64803
10345230	6.61857	6.313589	6.119876	6.691833	6.450721	6.603349
10345241	7.184346	7.137128	6.925019	6.522644	6.570737	6.532135
10345350	5.037156	4.888896	4.786149	4.949203	4.888814	4.845378
10345352	4.473626	4.470881	4.611112	4.649462	4.373507	4.492609
10345357	6.849881	6.589253	6.603001	6.28768	6.542796	6.45796
10345368	7.73213	7.448563	7.471354	7.456049	7.412585	7.644508
10345370	3.876359	4.119981	4.000864	4.111634	4.175726	4.020407
10345387	4.033721	3.880771	4.064376	4.023337	3.910077	3.988282
10345393	4.628956	4.45781	4.708307	4.22964	4.713834	4.595064
10345401	3.87278	3.975464	3.439538	3.965444	3.837738	4.143474
10345404	5.007149	4.850207	5.194825	5.099708	5.600323	5.926222
10345406	4.707368	4.430212	4.408814	4.544622	4.794991	4.765083
10345409	5.428955	5.40995	5.548071	5.529226	5.333795	5.492304
10345411	5.371639	5.36517	5.537456	5.477953	5.704564	5.782164
10345423	5.121529	5.349899	5.63724	5.242853	5.2546	5.485161
10345436	3.342532	3.461493	2.734805	2.95708	2.460301	2.839214
10345438	4.99089	4.936219	5.001648	5.055193	4.865406	4.886612
10345440	1.804618	1.961183	2.190554	1.938584	2.177005	2.168093
10345442	5.899437	5.850884	6.052293	5.861571	5.944009	5.95548
10345445	5.546242	5.610401	5.635219	5.505068	5.748601	5.721271
10345457	3.052111	3.23397	3.304379	3.389837	3.14543	3.024525
10345482	6.304027	6.431186	6.29233	6.245439	6.094562	6.274324
10345492	6.610564	6.681872	6.745443	6.614756	6.602891	6.494836
10345504	8.947246	8.894271	8.966062	8.951582	8.867877	8.908666
10345509	4.06944	3.786881	4.376573	3.921282	4.022724	3.70789
10345527	2.589841	2.645085	3.056306	2.589841	2.682791	2.54235
10345529	4.001523	4.059011	4.133137	4.018766	4.145932	4.072363
10345546	2.461476	2.185388	2.172003	2.277078	1.937006	1.686493
10345548	3.753698	3.918247	3.944343	3.810591	4.105724	3.930995
10345550	1.975466	2.234075	2.037693	1.841694	1.893918	2.384393
10345552	7.024113	7.153823	7.102684	7.043359	6.96928	7.067355
10345554	3.171068	3.107039	2.732705	3.107039	3.062283	3.235986
10345556	4.560484	4.580876	4.848471	4.69679	4.564226	4.432823
10345558	2.816492	2.7779	2.854565	2.769674	2.767129	2.883752
10345571	3.705342	3.835555	4.025292	3.563379	3.989455	3.703933
10345580	7.468623	7.413102	7.472484	7.543447	7.511458	7.554021
10345608	6.75802	6.513608	6.574053	6.684861	6.707359	6.445642
10345616	3.701874	3.490989	3.200311	3.652118	3.54956	3.797865
10345620	7.192791	7.148724	7.263211	7.231806	7.14888	7.220654
10345626	7.13447	7.152385	6.81173	7.28991	7.21409	7.189317
10345656	4.087981	4.054163	3.92679	4.134602	4.05188	3.933347
10345666	6.107291	6.132443	6.110222	6.146935	6.168213	6.159222
