GSM	GSE	Cell_Type
GSM568469	GSE23033	oocyte
GSM568470	GSE23033	oocyte
GSM568471	GSE23033	oocyte
GSM792296	GSE31985	oocyte
GSM792297	GSE31985	oocyte
GSM792298	GSE31985	oocyte
GSM635857	GSE25896	sperm
GSM635858	GSE25896	sperm
GSM635859	GSE25896	sperm
GSM613030	GSE24940	placenta
GSM613031	GSE24940	placenta
GSM613032	GSE24940	placenta
GSM1015774	GSE41370	trophoblast stem cell
GSM1015775	GSE41370	trophoblast stem cell
GSM1015776	GSE41370	trophoblast stem cell
GSM1015777	GSE41370	trophoblast stem cell
GSM1015778	GSE41370	trophoblast stem cell
GSM1015779	GSE41370	trophoblast stem cell
GSM1015780	GSE41370	trophoblast stem cell
GSM1015781	GSE41370	trophoblast stem cell
GSM1015782	GSE41370	trophoblast stem cell
GSM619267	GSE25255	trophoblast stem cell
GSM621308	GSE25255	trophoblast stem cell
GSM621309	GSE25255	trophoblast stem cell
GSM783316	GSE31562	episc
GSM413497	GSE16462	esc
GSM413498	GSE16462	esc
GSM413499	GSE16462	esc
GSM425433	GSE17004	esc
GSM425446	GSE17004	esc
GSM425448	GSE17004	esc
GSM539085	GSE21595	esc
GSM539086	GSE21595	esc
GSM539087	GSE21595	esc
GSM590259	GSE23958	esc
GSM590260	GSE23958	esc
GSM590265	GSE23958	esc
GSM590266	GSE23958	esc
GSM685739	GSE27685	esc
GSM685740	GSE27685	esc
GSM685741	GSE27685	esc
GSM769446	GSE27341	esc
GSM769447	GSE27341	esc
GSM769448	GSE27341	esc
GSM791102	GSE15907	HSC
GSM791103	GSE15907	HSC
GSM791104	GSE15907	HSC
GSM399454	GSE15907	HSC
GSM399455	GSE15907	HSC
GSM476654	GSE15907	HSC
GSM791112	GSE15907	HSC
GSM791113	GSE15907	HSC
GSM538343	GSE15907	Common Lymphoid Progenitor (CLP)
GSM538346	GSE15907	Common Lymphoid Progenitor (CLP)
GSM538347	GSE15907	Common Lymphoid Progenitor (CLP)
GSM538348	GSE15907	Common Lymphoid Progenitor (CLP)
GSM538349	GSE15907	Common Lymphoid Progenitor (CLP)
GSM538350	GSE15907	Common Lymphoid Progenitor (CLP)
GSM791117	GSE15907	Common Myeloid Progenitor (CMP)
GSM791118	GSE15907	Common Myeloid Progenitor (CMP)
GSM791119	GSE15907	Granulocyte-Monocyte Progenitor (GMP)
GSM791120	GSE15907	Granulocyte-Monocyte Progenitor (GMP)
GSM791121	GSE15907	Granulocyte-Monocyte Progenitor (GMP)
GSM791108	GSE15907	Megakaryocyte-Erythroid Progenitor (MEP)
GSM791109	GSE15907	Megakaryocyte-Erythroid Progenitor (MEP)
GSM538340	GSE15907	pre B Cell
GSM538341	GSE15907	pre B Cell
GSM538342	GSE15907	pre B Cell
GSM538201	GSE15907	B Cell
GSM538202	GSE15907	B Cell
GSM538203	GSE15907	B Cell
GSM538210	GSE15907	B Cell
GSM538211	GSE15907	B Cell
GSM538212	GSE15907	B Cell
GSM854329	GSE15907	monocytes - classical
GSM854330	GSE15907	monocytes - classical
GSM854331	GSE15907	monocytes - classical
GSM605840	GSE15907	dendritic cell - plasmacytoid
GSM605841	GSE15907	dendritic cell - plasmacytoid
GSM605842	GSE15907	dendritic cell - plasmacytoid
GSM605843	GSE15907	dendritic cell - plasmacytoid
GSM605844	GSE15907	dendritic cell - plasmacytoid
GSM605845	GSE15907	dendritic cell - plasmacytoid
GSM854297	GSE15907	dendritic cell - plasmacytoid
GSM854298	GSE15907	dendritic cell - plasmacytoid
GSM854299	GSE15907	dendritic cell - plasmacytoid
GSM854300	GSE15907	dendritic cell - plasmacytoid
GSM854301	GSE15907	dendritic cell - plasmacytoid
GSM538240	GSE15907	macrophage
GSM538241	GSE15907	macrophage
GSM538282	GSE15907	macrophage
GSM538283	GSE15907	macrophage
GSM538284	GSE15907	macrophage
GSM605854	GSE15907	macrophage
GSM605855	GSE15907	macrophage
GSM854280	GSE15907	macrophage
GSM854281	GSE15907	macrophage
GSM854282	GSE15907	macrophage
GSM854283	GSE15907	macrophage
GSM854284	GSE15907	macrophage
GSM791136	GSE15907	thymocyte DN
GSM791137	GSE15907	thymocyte DN
GSM791138	GSE15907	thymocyte DN
GSM791139	GSE15907	thymocyte DN
GSM791140	GSE15907	thymocyte DN
GSM791141	GSE15907	thymocyte DN
GSM791142	GSE15907	thymocyte DN
GSM791146	GSE15907	thymocyte DN
GSM791147	GSE15907	thymocyte DN
GSM791148	GSE15907	thymocyte DN
GSM791149	GSE15907	thymocyte DN
GSM791150	GSE15907	thymocyte DN
GSM791154	GSE15907	thymocyte DN
GSM791155	GSE15907	thymocyte DN
GSM791156	GSE15907	thymocyte DN
GSM399391	GSE15907	thymocyte - DP
GSM399392	GSE15907	thymocyte - DP
GSM399393	GSE15907	thymocyte - DP
GSM399370	GSE15907	T Cell
GSM399371	GSE15907	T Cell
GSM399372	GSE15907	T Cell
GSM538362	GSE15907	T Cell
GSM538363	GSE15907	T Cell
GSM538364	GSE15907	T Cell
