"","ENSEMBL","ENTREZID"
"1","ENSMUSG00000030359","11287"
"2","ENSMUSG00000020804","11298"
"3","ENSMUSG00000025375","11302"
"4","ENSMUSG00000015243","11303"
"5","ENSMUSG00000028125","11304"
"6","ENSMUSG00000026944","11305"
"7","ENSMUSG00000031333","11306"
"8","ENSMUSG00000024030","11307"
"9","ENSMUSG00000058835","11308"
"10","ENSMUSG00000026842","11350"
"11","ENSMUSG00000026596","11352"
"12","ENSMUSG00000066583","11354"
"13","ENSMUSG00000026003","11363"
"14","ENSMUSG00000062908","11364"
"15","ENSMUSG00000018574","11370"
"16","ENSMUSG00000029545","11409"
"17","ENSMUSG00000027822","11416"
"18","ENSMUSG00000020704","11418"
"19","ENSMUSG00000023017","11419"
"20","ENSMUSG00000020681","11421"
"21","ENSMUSG00000023328","11423"
"22","ENSMUSG00000074336","11425"
"23","ENSMUSG00000028649","11426"
"24","ENSMUSG00000028405","11428"
"25","ENSMUSG00000022477","11429"
"26","ENSMUSG00000020777","11430"
"27","ENSMUSG00000044573","11431"
"28","ENSMUSG00000002103","11432"
"29","ENSMUSG00000001348","11433"
"30","ENSMUSG00000022622","11434"
"31","ENSMUSG00000027107","11435"
"32","ENSMUSG00000027577","11438"
"33","ENSMUSG00000031491","11440"
"34","ENSMUSG00000030525","11441"
"35","ENSMUSG00000041189","11443"
"36","ENSMUSG00000027950","11444"
"37","ENSMUSG00000026251","11447"
"38","ENSMUSG00000014609","11448"
"39","ENSMUSG00000026253","11449"
"40","ENSMUSG00000022878","11450"
"41","ENSMUSG00000032110","11451"
"42","ENSMUSG00000031972","11459"
"43","ENSMUSG00000029580","11461"
"44","ENSMUSG00000068614","11464"
"45","ENSMUSG00000062825","11465"
"46","ENSMUSG00000059430","11468"
"47","ENSMUSG00000070979","11470"
"48","ENSMUSG00000070980","11471"
"49","ENSMUSG00000052374","11472"
"50","ENSMUSG00000006457","11474"
"51","ENSMUSG00000035783","11475"
"52","ENSMUSG00000026836","11477"
"53","ENSMUSG00000000532","11479"
"54","ENSMUSG00000052155","11480"
"55","ENSMUSG00000061393","11481"
"56","ENSMUSG00000000530","11482"
"57","ENSMUSG00000020774","11484"
"58","ENSMUSG00000017697","11486"
"59","ENSMUSG00000054693","11487"
"60","ENSMUSG00000020926","11488"
"61","ENSMUSG00000054555","11489"
"62","ENSMUSG00000028041","11490"
"63","ENSMUSG00000052593","11491"
"64","ENSMUSG00000011256","11492"
"65","ENSMUSG00000022039","11495"
"66","ENSMUSG00000040537","11496"
"67","ENSMUSG00000031553","11497"
"68","ENSMUSG00000072972","11498"
"69","ENSMUSG00000031554","11499"
