probe_id	symbol	gene_id	ensembl_id
10344624	Lypla1	18777	ENSMUSG00000025903
10344633	Tcea1	21399	ENSMUSG00000033813
10344637	Atp6v1h	108664	ENSMUSG00000033793
10344653	Oprk1	18387	ENSMUSG00000025905
10344658	Rb1cc1	12421	ENSMUSG00000025907
10344674	Fam150a	620393	ENSMUSG00000087247
10344679	St18	240690	ENSMUSG00000033740
10344707	Pcmtd1	319263	ENSMUSG00000051285
10344719	Rnf7	19823	ENSMUSG00000051234
10344723	Rrs1	59014	ENSMUSG00000061024
10344725	Adhfe1	76187	ENSMUSG00000025911
10344743	3110035E14Rik	76982	ENSMUSG00000067879
10344772	Mcmdc2	240697	ENSMUSG00000046101
10344789	Cspp1	211660	ENSMUSG00000056763
10344797	Cspp1	211660	ENSMUSG00000056763
10344799	Cspp1	211660	ENSMUSG00000056763
10344801	Cspp1	211660	ENSMUSG00000056763
10344803	Cspp1	211660	ENSMUSG00000056763
10344805	Cspp1	211660	ENSMUSG00000056763
10344807	Cspp1	211660	ENSMUSG00000056763
10344809	Cspp1	211660	ENSMUSG00000056763
10344811	Cspp1	211660	ENSMUSG00000056763
10344813	Cspp1	211660	ENSMUSG00000056763
10344815	Cspp1	211660	ENSMUSG00000056763
10344817	Cspp1	211660	ENSMUSG00000056763
10344819	Cspp1	211660	ENSMUSG00000056763
10344821	Cspp1	211660	ENSMUSG00000056763
10344837	Prex2	109294	ENSMUSG00000048960
10344879	A830018L16Rik	320492	ENSMUSG00000057715
10344897	Sulf1	240725	ENSMUSG00000016918
10344924	Xkr9	381246	ENSMUSG00000067813
10344935	Kcnb2	98741	ENSMUSG00000092083
10344939	Terf1	21749	ENSMUSG00000025925
10344952	Rdh10	98711	ENSMUSG00000025921
10344960	Tmem70	70397	ENSMUSG00000025940
10344966	Ly96	17087	ENSMUSG00000025779
10344973	Gdap1	14545	ENSMUSG00000025777
10344981	Pi15	94227	ENSMUSG00000067780
10344990	Crispld1	83691	ENSMUSG00000025776
10345007	Tfap2d	226896	ENSMUSG00000042596
10345016	Tfap2b	21419	ENSMUSG00000025927
10345025	Iars	105148	ENSMUSG00000037851
10345028	Mir206	387202	ENSMUSG00000065559
10345030	Mir133b	723817	ENSMUSG00000065480
10345032	Il17a	16171	ENSMUSG00000025929
10345037	Paqr8	74229	ENSMUSG00000025931
10345046	Efhc1	71877	ENSMUSG00000041809
10345058	Tmem14a	75712	ENSMUSG00000025933
10345065	Gsta3	14859	ENSMUSG00000025934
10345077	Khdc1a	368204	ENSMUSG00000067750
10345087	Mir30a	387225	ENSMUSG00000065405
10345089	Mir30c-2	723964	ENSMUSG00000065567
10345091	B3gat2	280645	ENSMUSG00000026156
10345099	1110058L19Rik	68002	ENSMUSG00000026154
10345101	Col9a1	12839	ENSMUSG00000026147
10345141	Lmbrd1	68421	ENSMUSG00000073725
10345183	Cdk10	234854	ENSMUSG00000033862
10345190	Lgsn	266744	ENSMUSG00000050217
10345197	Pih1d3	74708	ENSMUSG00000026063
10345203	Paox	212503	ENSMUSG00000025464
10345212	Khdrbs2	170771	ENSMUSG00000026058
10345228	1700001G17Rik	67503	ENSMUSG00000103746
10345230	Rab23	19335	ENSMUSG00000004768
10345241	Dst	13518	ENSMUSG00000103405
10345241	Dst	13518	ENSMUSG00000103888
10345241	Dst	13518	ENSMUSG00000026131
10345357	Imp4	27993	ENSMUSG00000026127
10345370	Ptpn18	19253	ENSMUSG00000026126
10345387	Prss39	21755	ENSMUSG00000026125
10345393	Cfc1	12627	ENSMUSG00000026124
10345401	Amer3	211383	ENSMUSG00000045174
10345406	Arhgef4	226970	ENSMUSG00000037509
10345409	Arhgef4	226970	ENSMUSG00000037509
10345411	Arhgef4	226970	ENSMUSG00000037509
10345423	Plekhb2	226971	ENSMUSG00000026123
10345442	Hs6st1	50785	ENSMUSG00000045216
10345445	Arid5a	214855	ENSMUSG00000037447
